slice,combo_kind,combo_size,combo,n,mean_surplus,median_surplus,bust_or_major_underperform_rate,underperform_rate,positive_surplus_rate,big_overperform_rate,mean_surplus_delta_vs_baseline,bust_rate_delta_vs_baseline,big_overperform_rate_delta_vs_baseline,example_players
xRAPM historical mature,positive,3,feel_iq_passing + upside_tools + risk_uncertainty,14,0.7470752947104222,0.42281746031746015,0.07142857142857142,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.659567515492746,-0.2699562916954221,0.10489993098688749,Bruce Brown | OG Anunoby | Montrezl Harrell | Ja Morant | Cody Zeller
xRAPM historical top30,positive,2,motor_competitiveness + production_stats,249,0.05264165021931587,-0.0289682539682538,0.3092369477911647,0.5100401606425703,0.4899598393574297,0.321285140562249,-0.027788977576169674,-0.01165857459689501,-0.009560630582029606,Draymond Green | Stephen Curry | Franz Wagner | Joel Embiid | Jayson Tatum
xRAPM historical top30,positive,3,defense + motor_competitiveness + size_frame,195,0.052574986678778475,0.1028968253968261,0.2923076923076923,0.48205128205128206,0.517948717948718,0.3282051282051282,-0.027855641116707068,-0.02858783008036736,-0.002640642939150395,Stephen Curry | Franz Wagner | Rudy Gobert | Joel Embiid | Jayson Tatum
xRAPM historical top30,positive,3,shooting + motor_competitiveness + production_stats,234,0.05227796540518764,-0.04940215977101235,0.31196581196581197,0.5170940170940171,0.4829059829059829,0.3247863247863248,-0.0281526623902979,-0.008929710422247716,-0.006059446357953802,Draymond Green | Stephen Curry | Franz Wagner | Joel Embiid | Jayson Tatum
xRAPM historical top15,positive,2,motor_competitiveness + size_frame,123,0.050335146216318336,0.1810317460317458,0.3008130081300813,0.44715447154471544,0.5528455284552846,0.35772357723577236,-0.06441696159068369,0.0035157108327840136,0.00637222588442099,Stephen Curry | Franz Wagner | Joel Embiid | Jayson Tatum | Ricky Rubio
xRAPM historical top15,positive,3,athleticism_tools + motor_competitiveness + size_frame,123,0.050335146216318336,0.1810317460317458,0.3008130081300813,0.44715447154471544,0.5528455284552846,0.35772357723577236,-0.06441696159068369,0.0035157108327840136,0.00637222588442099,Stephen Curry | Franz Wagner | Joel Embiid | Jayson Tatum | Ricky Rubio
xRAPM historical mature,positive,3,shooting + size_frame + production_stats,297,0.05002378405153481,-0.0762037037037035,0.3265993265993266,0.5185185185185185,0.48148148148148145,0.3164983164983165,-0.03748399516614149,-0.014785536524666965,-0.007173181086224556,Stephen Curry | Franz Wagner | Paul George | Mitchell Robinson | Desmond Bane
xRAPM historical top15,positive,2,motor_competitiveness + production_stats,135,0.049985499264606756,0.1142063492063494,0.2962962962962963,0.4740740740740741,0.5259259259259259,0.35555555555555557,-0.06476660854239527,-0.001001001001001034,0.004204204204204198,Stephen Curry | Franz Wagner | Joel Embiid | Jayson Tatum | Ricky Rubio
xRAPM historical mature,positive,3,upside_tools + defense + production_stats,184,0.049236241941487666,0.022476147107294703,0.30434782608695654,0.4945652173913043,0.5054347826086957,0.3423913043478261,-0.038271537276188636,-0.037037037037037035,0.018719806763285052,Joel Embiid | Malcolm Brogdon | Aaron Wiggins | Chase Budinger | Khris Middleton
xRAPM historical top30,positive,3,creation_handle + size_frame + production_stats,134,0.04806648926559152,0.15466931216931207,0.3283582089552239,0.4701492537313433,0.5298507462686567,0.3358208955223881,-0.032364138529894025,0.007462686567164201,0.004975124378109486,Stephen Curry | Joel Embiid | Jayson Tatum | Ricky Rubio | Jrue Holiday
xRAPM historical top30,positive,3,defense + size_frame + risk_uncertainty,14,0.04753871992519169,0.12382936507936515,0.21428571428571427,0.5,0.5,0.35714285714285715,-0.032891907870293856,-0.10660980810234541,0.02629708599857855,Klay Thompson | Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr.
xRAPM historical mature,positive,3,feel_iq_passing + upside_tools + size_frame,158,0.04699935881086826,0.1406878306878307,0.2974683544303797,0.4873417721518987,0.5126582278481012,0.3291139240506329,-0.04050842040680804,-0.043916508693613854,0.005442426466091832,Joel Embiid | Malcolm Brogdon | Nikola Mirotic | Khris Middleton | Tyrese Haliburton
xRAPM historical top30,positive,3,motor_competitiveness + size_frame + production_stats,197,0.046106368515100936,0.0410317460317459,0.30456852791878175,0.49238578680203043,0.5076142131979695,0.3197969543147208,-0.03432425928038461,-0.016326994469277933,-0.011048816829557773,Stephen Curry | Franz Wagner | Joel Embiid | Jayson Tatum | Ricky Rubio
xRAPM historical mature,positive,3,athleticism_tools + size_frame + production_stats,320,0.045437426884604185,-0.05257355787843575,0.325,0.5125,0.4875,0.315625,-0.04207035233307212,-0.016384863123993565,-0.008046497584541068,Stephen Curry | Franz Wagner | Paul George | Mitchell Robinson | Desmond Bane
xRAPM historical top30,positive,3,feel_iq_passing + finishing_touch + size_frame,150,0.04417396031801762,0.1169973544973548,0.3,0.47333333333333333,0.5266666666666666,0.3333333333333333,-0.036256667477467926,-0.020895522388059695,0.002487562189054715,Franz Wagner | Desmond Bane | Joel Embiid | Jayson Tatum | Ricky Rubio
xRAPM historical top30,positive,2,defense + risk_uncertainty,15,0.0440890486497556,-0.0042063492063492,0.2,0.5333333333333333,0.4666666666666667,0.3333333333333333,-0.03634157914572994,-0.12089552238805967,0.002487562189054715,Klay Thompson | Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr.
xRAPM historical top30,positive,3,athleticism_tools + defense + risk_uncertainty,15,0.0440890486497556,-0.0042063492063492,0.2,0.5333333333333333,0.4666666666666667,0.3333333333333333,-0.03634157914572994,-0.12089552238805967,0.002487562189054715,Klay Thompson | Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr.
xRAPM historical top30,positive,3,defense + production_stats + risk_uncertainty,15,0.0440890486497556,-0.0042063492063492,0.2,0.5333333333333333,0.4666666666666667,0.3333333333333333,-0.03634157914572994,-0.12089552238805967,0.002487562189054715,Klay Thompson | Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr.
xRAPM historical top30,positive,3,feel_iq_passing + creation_handle + intel_consensus,12,0.04391353046594987,-0.05120370370370367,0.4166666666666667,0.5,0.5,0.3333333333333333,-0.036517097329535675,0.095771144278607,0.002487562189054715,Kyle Anderson | CJ McCollum | Rodney Hood | Gary Harris | Dario Saric
